x,y,psi,kappa,s
7.955495802374807113e+01,-8.461705924964930681e-01,-1.064480276922244451e-02,0.000000000000000000e+00,7.955945984113544966e+01
8.005134490188555674e+01,-8.514547324981885934e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.005587484385256403e+01
8.054773178002304235e+01,-8.567388724998838967e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.055228984656967839e+01
8.104411865816051375e+01,-8.620230125015794220e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.104870484928677854e+01
8.154050553629799936e+01,-8.673071525032749474e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.154511985200389290e+01
8.203689241443548497e+01,-8.725912925049703617e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.204153485472100726e+01
8.253327929257298479e+01,-8.778754325066657760e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.253794985743813584e+01
8.302966617071045619e+01,-8.831595725083610793e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.303436486015523599e+01
8.352605304884794180e+01,-8.884437125100566046e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.353077986287235035e+01
8.402243992698544162e+01,-8.937278525117520189e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.402719486558947892e+01
8.451882680512292723e+01,-8.990119925134475443e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.452360986830659328e+01
8.501521368326041284e+01,-9.042961325151430696e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.502002487102370765e+01
8.551160056139789845e+01,-9.095802725168383729e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.551643987374082201e+01
8.600798743953538406e+01,-9.148644125185338982e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.601285487645793637e+01
8.650437431767286967e+01,-9.201485525202292015e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.650926987917505073e+01
8.700076119581035528e+01,-9.254326925219247268e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.700568488189216509e+01
8.749714807394785510e+01,-9.307168325236201412e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.750209988460929367e+01
8.799353495208531228e+01,-9.360009725253155555e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.799851488732637961e+01
8.848992183022281210e+01,-9.412851125270109698e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.849492989004350818e+01
8.898630870836029771e+01,-9.465692525287064951e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.899134489276062254e+01
8.948269558649778332e+01,-9.518533925304020205e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.948775989547773690e+01
8.997908246463526893e+01,-9.571375325320973237e-01,-1.064480276922244451e-02,0.000000000000000000e+00,8.998417489819485127e+01
9.047546934277275454e+01,-9.624216725337928491e-01,-1.064480276922244451e-02,0.000000000000000000e+00,9.048058990091196563e+01
9.097185622091024015e+01,-9.677058125354881524e-01,-1.064480276922244451e-02,0.000000000000000000e+00,9.097700490362907999e+01
9.146824309904772576e+01,-9.729899525371836777e-01,-1.064480276922244451e-02,0.000000000000000000e+00,9.147341990634619435e+01
